stationID,longitude,latitude,line
1438,40.90357833,-73.850418,2
1439,40.73007033,-73.861428,E-M-R
1440,40.69262819,-73.99106492,2-3-4-5-N-R
1441,40.71819733,-74.000388,4-6-6 Express-J-Z-N-Q-R
1442,40.72256933,-74.00608,1
1443,40.67995374,-73.9400625,A-C
1444,40.8132942,-73.92990842,4-5
1445,40.72221834,-73.844988,E-F-M-R
1446,40.70758333,-73.802587,F
1447,40.58795133,-73.813556,A-S
1448,40.74283456,-73.88298047,E-M-R
1449,40.74613033,-73.945334,7-7 Express
1450,40.75218333,-73.929232,E-M-R
1451,40.75413133,-73.942491,F
1452,40.74642733,-73.99735,A-C-E
1453,40.75279633,-73.992669,A-C-E
1454,40.73947733,-73.986562,4-6-6 Express
1455,40.75598933,-73.991049,1-2-3-7-7 Express-S-A-C-E-N-Q-R
1456,40.74249454,-73.94857258,7-7 Express
1457,40.79024133,-73.947854,4-6-6 Express
1458,40.75746333,-73.989984,1-2-3-7-7 Express-S-A-C-E-N-Q-R
1459,40.75624162,-73.98713328,1-2-3-7-7 Express-S-A-C-E-N-Q-R
1460,40.75700833,-73.971798,4-6-6 Express-E-M
1461,40.71835833,-74.000216,4-6-6 Express-J-Z-N-Q-R
1462,40.73452233,-73.990283,4-5-6-6 Express-L-N-Q-R
1463,40.75610133,-73.990887,1-2-3-7-7 Express-S-A-C-E-N-Q-R
1464,40.74856333,-73.988485,B-D-F-M-N-Q-R
1465,40.75450733,-73.987108,1-2-3-7-7 Express-S-A-C-E-N-Q-R
1466,40.71111533,-74.009375,2-3-4-5-A-C-J-Z
1467,40.68128933,-73.83873,A-S
1468,40.73515933,-73.989789,4-5-6-6 Express-L-N-Q-R
1469,40.75135233,-73.976396,4-5-6-6 Express-7-7 Express-S
1470,40.75557533,-73.986311,1-2-3-7-7 Express-S-A-C-E-N-Q-R
1471,40.76425733,-73.981235,N-Q-R
1472,40.68714754,-73.97626385,G
1473,40.67945733,-73.86007,A-S
1474,40.69020333,-73.871614,J
1475,40.6603722,-73.83036901,A
1476,40.65120912,-73.89891028,L
1477,40.66334876,-73.90052578,L
1478,40.66978369,-73.90231907,L
1479,40.68001997,-73.85051963,A-S
1480,40.69414933,-73.850468,J-Z
1481,40.68079834,-73.842563,A-S
1482,40.68216333,-73.836971,A-S
1483,40.68428034,-73.832856,A-S
1484,40.68595333,-73.827008,A-S
1485,40.70052033,-73.829231,J-Z
1486,40.70077434,-73.82754364,J-Z
1487,40.61617133,-74.031225,R
1488,40.61752933,-74.030295,R
1489,40.62254533,-74.02832,R
1490,40.62948033,-74.025453,R
1491,40.60764733,-74.001507,D
1492,40.61284133,-74.000593,D
1493,40.60446034,-73.998256,D
1494,40.60478234,-73.998264,D
1495,40.60177933,-73.993786,D
1496,40.61895233,-73.99885,D
1497,40.62132133,-73.991492,N
1498,40.62718433,-73.996512,D-N
1499,40.62427733,-73.995946,D-N
1500,40.63140433,-73.995319,D
1501,40.57695233,-73.981115,D-F-N-Q
1502,40.58054769,-73.97477776,F
1503,40.58813234,-73.983489,D
1504,40.59788333,-73.987402,D
1505,40.59809233,-73.987199,D
1506,40.59039733,-73.974021,F
1507,40.59851233,-73.979335,N
1508,40.57617333,-73.968008,Q
1509,40.57742233,-73.961656,B-Q
1510,40.57768333,-73.960383,B-Q
1511,40.59507333,-73.973347,F
1512,40.61307733,-73.982201,N
1513,40.61054433,-73.981618,N
1514,40.62003733,-73.989402,N
1515,40.61610033,-73.974519,F
1516,40.62087734,-73.975127,F
1517,40.60209533,-73.972672,F
1518,40.60400733,-73.972077,F
1519,40.60904133,-73.972904,F
1520,40.60905433,-73.957823,B-Q
1521,40.62988733,-73.961916,B-Q
1522,40.58734033,-73.954193,B-Q
1523,40.59878033,-73.95601,B-Q
1524,40.63473433,-74.023329,R
1525,40.64070933,-74.018764,N-R
1526,40.64174033,-74.017732,N-R
1527,40.64453433,-74.014769,N-R
1528,40.64437933,-74.014581,N-R
1529,40.64567733,-74.013659,N-R
1530,40.64930533,-74.009444,N-R
1531,40.63613733,-73.994658,D
1532,40.64631333,-73.994496,D
1533,40.65464734,-74.004293,D-N-R
