OBJECTID,Shape,,NAME,ADDRESS,TYPE,URL
530,40.7846961,-73.94712355,McDonalds,1871 2nd Avenue,Fee-based,http://www.mcdonalds.com/wireless.html
531,40.79442403,-73.97247263,McDonalds,2549 Broadway,Fee-based,http://www.mcdonalds.com/wireless.html
532,40.79003967,-73.9462273,McDonalds,1872 3rd Ave,Fee-based,http://www.mcdonalds.com/wireless.html
533,40.8045217,-73.93704083,McDonalds,125th St & Lexington Ave,Fee-based,http://www.mcdonalds.com/wireless.html
534,40.80970139,-73.94893155,McDonalds,215 West 125th Street,Fee-based,http://www.mcdonalds.com/wireless.html
535,40.81067205,-73.95311041,McDonalds,354 W 125th St,Fee-based,http://www.mcdonalds.com/wireless.html
536,40.81593864,-73.95890875,McDonalds,600 West 125th St,Fee-based,http://www.mcdonalds.com/wireless.html
537,40.81239048,-73.94160686,McDonalds,444 Lenox Avenue,Fee-based,http://www.mcdonalds.com/wireless.html
538,40.70816531,-74.00485849,McDonalds,52 Fulton Street,Fee-based,http://www.mcdonalds.com/wireless.html
539,40.8179237,-73.94133466,McDonalds,2379 Adam Clayton Powell Jr Blvd,Fee-based,http://www.mcdonalds.com/wireless.html
540,40.82682918,-73.9506528,McDonalds,3549 Broadway,Fee-based,http://www.mcdonalds.com/wireless.html
541,40.82221087,-73.95315648,McDonalds,3410 Broadway,Fee-based,http://www.mcdonalds.com/wireless.html
542,40.79865775,-73.93991053,McDonalds,2142 3rd Ave,Fee-based,http://www.mcdonalds.com/wireless.html
543,40.78549683,-73.97920016,McDonalds,2271 Broadway,Fee-based,http://www.mcdonalds.com/wireless.html
544,40.85008629,-73.93626032,McDonalds,4259 Broadway,Fee-based,http://www.mcdonalds.com/wireless.html
545,40.81960191,-73.90254471,McDonalds,839 Westchester Avenue,Fee-based,http://www.mcdonalds.com/wireless.html
546,40.86511654,-73.92740986,McDonalds,208 Dyckman St,Fee-based,http://www.mcdonalds.com/wireless.html
547,40.8673577,-73.92130802,McDonalds,608 West 207th Street,Fee-based,http://www.mcdonalds.com/wireless.html
1194,40.7507679,-73.98929544,McDonalds,151 WEST 34TH STREET,Fee-based,http://www.mcdonalds.com/wireless.html
1195,40.6891275,-73.98067439,McDonalds,395 FLATBUSH AVE EXTEN,Fee-based,http://www.mcdonalds.com/wireless.html
1196,40.73036529,-73.95407067,McDonalds,904 MANHATTAN AVE & GREENPOINT,Fee-based,http://www.mcdonalds.com/wireless.html
1197,40.80772559,-73.94492814,McDonalds,79 W 125TH ST,Fee-based,http://www.mcdonalds.com/wireless.html
1198,40.59464923,-74.08609862,McDonalds,1388 HYLAN BLVD,Fee-based,http://www.mcdonalds.com/wireless.html
1199,40.58736509,-73.95366288,McDonalds,1509 SHEEPSHEAD BAY RD,Fee-based,http://www.mcdonalds.com/wireless.html
1200,40.70490463,-73.80946026,McDonalds,87-84 SUTPHIN BLVD,Fee-based,http://www.mcdonalds.com/wireless.html
1201,40.60776274,-74.16288643,McDonalds,1660 RICHMOND AVE,Fee-based,http://www.mcdonalds.com/wireless.html
1202,40.70604769,-73.79292577,McDonalds,166-30 JAMAICA AVE,Fee-based,http://www.mcdonalds.com/wireless.html
9,40.84040977,-73.87689049,McDonald's,1101 E Tremont Ave,Fee-based,http://www.mcdonalds.com/wireless.html
10,40.89298108,-73.85725811,McDonald's,4174 White Plains Rd,Fee-based,http://www.mcdonalds.com/wireless.html
11,40.80766949,-73.91882831,McDonald's,513 E 138th St,Fee-based,http://www.mcdonalds.com/wireless.html
12,40.85545388,-73.86731574,McDonald's,2170 White Plains Rd,Fee-based,http://www.mcdonalds.com/wireless.html
13,40.88955408,-73.84330847,McDonald's,1201 E 233rd St,Fee-based,http://www.mcdonalds.com/wireless.html
14,40.85477094,-73.88853625,McDonald's,2357 Arthur Ave,Fee-based,http://www.mcdonalds.com/wireless.html
15,40.83549139,-73.8906501,McDonald's,1600 Boston Rd,Fee-based,http://www.mcdonalds.com/wireless.html
16,40.82517592,-73.90861401,McDonald's,3279 3rd Avenue,Fee-based,http://www.mcdonalds.com/wireless.html
17,40.83506531,-73.91994045,McDonald's,86 E 167th St,Fee-based,http://www.mcdonalds.com/wireless.html
18,40.83968151,-73.91552217,McDonald's,101 E 170th St,Fee-based,http://www.mcdonalds.com/wireless.html
19,40.88405235,-73.90169801,McDonald's,5765 Broadway,Fee-based,http://www.mcdonalds.com/wireless.html
20,40.85432916,-73.90727262,McDonald's,2065 Jerome Ave,Fee-based,http://www.mcdonalds.com/wireless.html
21,40.84449054,-73.84660242,McDonald's,1515 Williamsbridge Rd,Fee-based,http://www.mcdonalds.com/wireless.html
22,40.83320333,-73.85875233,McDonald's,1982 Westchester Ave,Fee-based,http://www.mcdonalds.com/wireless.html
23,40.88125123,-73.88244181,McDonald's,3440-42 Jerome Ave,Fee-based,http://www.mcdonalds.com/wireless.html
24,40.82250681,-73.89136154,McDonald's,982 Southern Blvd,Fee-based,http://www.mcdonalds.com/wireless.html
25,40.82255467,-73.87368258,McDonald's,1600 Bruckner Blvd,Fee-based,http://www.mcdonalds.com/wireless.html
26,40.82802869,-73.92526783,McDonald's,51-67 E 161st St,Fee-based,http://www.mcdonalds.com/wireless.html
27,40.82494035,-73.92036454,McDonald's,212 E 161st Street,Fee-based,http://www.mcdonalds.com/wireless.html
28,40.81983135,-73.92703654,McDonald's,597-99 Grand Concourse,Fee-based,http://www.mcdonalds.com/wireless.html
29,40.8501972,-73.91651367,McDonald's,1745 University Ave,Fee-based,http://www.mcdonalds.com/wireless.html
30,40.86697659,-73.89737379,McDonald's,2630 Jerome Ave,Fee-based,http://www.mcdonalds.com/wireless.html
31,40.8063237,-73.92566787,McDonald's,85 Bruckner Blvd,Fee-based,http://www.mcdonalds.com/wireless.html
32,40.83450718,-73.85227011,McDonald's,1317 Castlehill Avenue,Fee-based,http://www.mcdonalds.com/wireless.html
33,40.87260921,-73.85228309,McDonald's,1212 E Gun Hill Road,Fee-based,http://www.mcdonalds.com/wireless.html
34,40.87281302,-73.87879751,McDonald's,300 E 204th St,Fee-based,http://www.mcdonalds.com/wireless.html
35,40.86405552,-73.86708888,McDonald's,2516 White Plains Rd,Fee-based,http://www.mcdonalds.com/wireless.html
36,40.8263917,-73.86164298,McDonald's,1865 Bruckner Blvd,Fee-based,http://www.mcdonalds.com/wireless.html
42,40.67754048,-73.89771578,McDonald's,50 Jamaica Ave,Fee-based,http://www.mcdonalds.com/wireless.html
43,40.64398931,-74.01108413,McDonald's,5121 5th Ave,Fee-based,http://www.mcdonalds.com/wireless.html
44,40.67525181,-73.98423484,McDonald's,275-81 Fourth Ave,Fee-based,http://www.mcdonalds.com/wireless.html
45,40.60492597,-73.99820654,McDonald's,1983 86th St,Fee-based,http://www.mcdonalds.com/wireless.html
46,40.71198034,-73.9432026,McDonald's,741 Grand St,Fee-based,http://www.mcdonalds.com/wireless.html
47,40.67732107,-73.92253811,McDonald's,1883 Atlantic Avenue,Fee-based,http://www.mcdonalds.com/wireless.html
48,40.6987055,-73.95277442,McDonald's,35-40 Nostrand Ave,Fee-based,http://www.mcdonalds.com/wireless.html
49,40.63235391,-73.94798643,McDonald's,2154 Nostrand Ave,Fee-based,http://www.mcdonalds.com/wireless.html
50,40.59931784,-73.9889989,McDonald's,2411 86th St,Fee-based,http://www.mcdonalds.com/wireless.html
51,40.65373644,-74.00541313,McDonald's,968 4th Ave,Fee-based,http://www.mcdonalds.com/wireless.html
52,40.64875534,-73.95797386,McDonald's,943 Flatbush Avenue,Fee-based,http://www.mcdonalds.com/wireless.html
53,40.60956217,-73.95709454,McDonald's,1607 Kings Highway,Fee-based,http://www.mcdonalds.com/wireless.html
54,40.65786941,-73.88962934,McDonald's,819 Pennsylvania Ave,Fee-based,http://www.mcdonalds.com/wireless.html
55,40.66975433,-73.98671264,McDonald's,289 9th St,Fee-based,http://www.mcdonalds.com/wireless.html
107,40.70135824,-73.94348213,McDonald's,700 Broadway,Fee-based,http://www.mcdonalds.com/wireless.html
108,40.67623572,-73.89066968,McDonald's,2800 Atlantic Ave,Fee-based,http://www.mcdonalds.com/wireless.html
109,40.57955036,-73.97509916,McDonald's,606 Neptune Ave,Fee-based,http://www.mcdonalds.com/wireless.html
110,40.68010104,-73.9401147,McDonald's,1531 Fulton Street,Fee-based,http://www.mcdonalds.com/wireless.html
111,40.6637261,-73.95999375,McDonald's,57 Empire Blvd,Fee-based,http://www.mcdonalds.com/wireless.html
112,40.62208857,-74.02775167,McDonald's,430 86th St.,Fee-based,http://www.mcdonalds.com/wireless.html
113,40.63580048,-73.96814243,McDonald's,880 Coney Island Ave,Fee-based,http://www.mcdonalds.com/wireless.html
114,40.63377565,-73.91551621,McDonald's,7602 Flatlands Avenue,Fee-based,http://www.mcdonalds.com/wireless.html
115,40.65042914,-73.94981747,McDonald's,2848 Church Avenue,Fee-based,http://www.mcdonalds.com/wireless.html
116,40.63381992,-74.02728458,McDonald's,7124 3rd Ave.,Fee-based,http://www.mcdonalds.com/wireless.html
117,40.69931851,-73.91975364,McDonald's,428 Knickerbocker Ave,Fee-based,http://www.mcdonalds.com/wireless.html
118,40.70894034,-73.95891339,McDonald's,267 Broadway,Fee-based,http://www.mcdonalds.com/wireless.html
119,40.61008316,-73.92013823,McDonald's,5407 Kings Plz,Fee-based,http://www.mcdonalds.com/wireless.html
120,40.66480279,-73.92350786,McDonald's,1101 Rutland Avenue,Fee-based,http://www.mcdonalds.com/wireless.html
121,40.72248804,-73.93929375,McDonald's,652 Meeker Ave,Fee-based,http://www.mcdonalds.com/wireless.html
142,40.72016884,-73.84546358,McDonald's,106-15 71ST AVE,Fee-based,http://www.mcdonalds.com/wireless.html
